"lowedF" "mededF" "highedF" "year"
"X.7" 0.960629921259842 0.031496062992126 0.0078740157480315 1870
"X.8" 0.971830985915493 0.0140845070422535 0.0140845070422535 1871
"X.9" 0.957957957957958 0.024024024024024 0.018018018018018 1872
"X.10" 0.926027397260274 0.0328767123287671 0.0410958904109589 1873
"X.11" 0.973201692524683 0.0141043723554302 0.0126939351198872 1874
"X.12" 0.948775055679287 0.0244988864142539 0.0267260579064588 1875
"X.13" 0.922279792746114 0.0328151986183074 0.0449050086355786 1876
"X.14" 0.945898778359511 0.0244328097731239 0.0296684118673647 1877
"X.15" 0.934163701067616 0.0302491103202847 0.0355871886120996 1878
"X.16" 0.937799043062201 0.0287081339712919 0.0334928229665072 1879
"X.17" 0.937129300118624 0.033214709371293 0.029655990510083 1880
"X.18" 0.929965556831229 0.0401836969001148 0.0298507462686567 1881
"X.19" 0.960199004975124 0.0223880597014925 0.0174129353233831 1882
"X.20" 0.946498819826908 0.02360346184107 0.029897718332022 1883
"X.21" 0.961437335670465 0.0192813321647677 0.0192813321647677 1884
"X.22" 0.957627118644068 0.0230024213075061 0.0193704600484262 1885
"X.23" 0.960760269773145 0.0214592274678112 0.0177805027590435 1886
"X.24" 0.961827956989247 0.0236559139784946 0.0145161290322581 1887
"X.25" 0.959044368600683 0.0243174061433447 0.0166382252559727 1888
"X.26" 0.961649484536082 0.0202061855670103 0.0181443298969072 1889
"X.27" 0.959205391982973 0.025540971975878 0.0152536360411493 1890
"X.28" 0.955183031132398 0.0232637700992131 0.0215531987683886 1891
"X.29" 0.948513415518492 0.0279187817258883 0.02356780275562 1892
"X.30" 0.945072273324573 0.0299605781865966 0.0249671484888305 1893
"X.31" 0.938335358444714 0.031591737545565 0.0300729040097205 1894
"X.32" 0.93718203937182 0.0329573103295731 0.0298606502986065 1895
"X.33" 0.937049941927991 0.0320557491289199 0.0308943089430894 1896
"X.34" 0.928301886792453 0.0382389937106918 0.0334591194968553 1897
"X.35" 0.92392668842581 0.0414260607582224 0.0346472508159679 1898
"X.36" 0.923634606089898 0.041565973900435 0.0347994200096665 1899
"X.37" 0.934675024744309 0.035136918508743 0.0301880567469482 1900
"X.38" 0.920124291719978 0.0464266130506306 0.0334490952293913 1901
"X.39" 0.891533066132265 0.0668837675350701 0.0415831663326653 1902
"X.40" 0.905897114178168 0.0558343789209536 0.0382685069008783 1903
"X.41" 0.89190251572327 0.066627358490566 0.0414701257861635 1904
"X.42" 0.885601238603131 0.0781008085325993 0.0362979528642697 1905
"X.43" 0.902775082476227 0.0624878711430235 0.0347370463807491 1906
"X.44" 0.897753938987596 0.0653704324505531 0.0368756285618505 1907
"X.45" 0.8989720526823 0.0623193061355606 0.0387086411821394 1908
"X.46" 0.899197820493416 0.0632662327834115 0.0375359467231724 1909
"X.47" 0.892009987515605 0.0701622971285893 0.0378277153558052 1910
"X.48" 0.88546533653239 0.0765248137391085 0.0380098497285011 1911
"X.49" 0.880631497882172 0.0789372352714671 0.0404312668463612 1912
"X.50" 0.870738183749336 0.0826340945300053 0.0466277217206585 1913
"X.51" 0.862247353224254 0.084456207892204 0.0532964388835419 1914
"X.52" 0.850974930362117 0.0952049343414246 0.0538201352964584 1915
"X.53" 0.852733485193622 0.0980637813211845 0.0492027334851936 1916
"X.54" 0.843968531468531 0.104130244755245 0.0519012237762238 1917
"X.55" 0.840769545640606 0.107859189521081 0.0513712648383136 1918
"X.56" 0.844412430541264 0.109590450710023 0.0459971187487137 1919
"X.57" 0.836464185393258 0.116046348314607 0.0474894662921348 1920
"X.58" 0.830711674177366 0.122183487798657 0.0471048380239776 1921
"X.59" 0.827674173117523 0.124120337790289 0.0482054890921886 1922
"X.60" 0.821257871178211 0.131325392610576 0.0474167362112131 1923
"X.61" 0.820844975023283 0.129116924900516 0.0500381000762002 1924
"X.62" 0.807001349144358 0.141092096854363 0.0519065540012781 1925
"X.63" 0.806979750107712 0.139595002154244 0.0534252477380439 1926
"X.64" 0.799847845632478 0.143647555155958 0.0565045992115637 1927
"X.65" 0.796170269548973 0.145116092874299 0.058713637576728 1928
"X.66" 0.785412262156448 0.150964587737844 0.0636231501057083 1929
"X.67" 0.771343861559872 0.161795849216434 0.0668602892236946 1930
"X.68" 0.762999452654625 0.168825640090008 0.068174907255367 1931
"X.69" 0.750540506168129 0.176904489380644 0.0725550044512273 1932
"X.70" 0.736265687899597 0.184406819796353 0.0793274923040493 1933
"X.71" 0.714836644109729 0.202648621116205 0.0825147347740668 1934
"X.72" 0.70441829056531 0.212746800437327 0.0828349089973632 1935
"X.73" 0.702625792264908 0.218406415728884 0.0789677920062088 1936
"X.74" 0.685817115435884 0.230871767528659 0.0833111170354572 1937
"X.75" 0.660958440503587 0.251861378096656 0.0871801813997563 1938
"X.76" 0.651530944625407 0.262084690553746 0.0863843648208469 1939
"X.77" 0.629847238542891 0.281773764611293 0.0883789968458161 1940
"X.78" 0.616231438812084 0.289426523297491 0.094342037890425 1941
"X.79" 0.600632993153339 0.304934762950523 0.0944322438961375 1942
"X.80" 0.582536254242518 0.314717679728479 0.102746066029003 1943
"X.81" 0.565474659120144 0.326215590429637 0.108309750450219 1944
"X.82" 0.555574752361207 0.331029716655149 0.113395530983644 1945
"X.83" 0.531095406360424 0.339163722025913 0.129740871613663 1946
"X.84" 0.524930914333774 0.340321999279106 0.13474708638712 1947
"X.85" 0.515898767034393 0.348946964780839 0.135154268184768 1948
"X.86" 0.496372147454652 0.361790520772381 0.141837331772967 1949
"X.87" 0.480111060743427 0.372336808703536 0.147552130553037 1950
"X.88" 0.456171936536514 0.392370878811747 0.151457184651738 1951
"X.89" 0.443994062571363 0.40614295501256 0.149862982416077 1952
"X.90" 0.421904302630874 0.426190858918716 0.15190483845041 1953
"X.91" 0.398277039449493 0.443609812470452 0.158113148080055 1954
"X.92" 0.379324135172965 0.462857428514297 0.157818436312737 1955
"X.93" 0.370923913043478 0.46777950310559 0.161296583850932 1956
"X.94" 0.359123655383401 0.483272476068292 0.157603868548308 1957
"X.95" 0.352319436288902 0.487766686239969 0.159913877471129 1958
"X.96" 0.341148487937479 0.498422406679287 0.160429105383234 1959
"X.97" 0.339789412673879 0.49710200927357 0.16310857805255 1960
"X.98" 0.320742519394163 0.515145917990395 0.164111562615441 1961
"X.99" 0.325495401535982 0.507348061060017 0.167156537404001 1962
"X.100" 0.329350601970084 0.498175848230573 0.172473549799343 1963
"X.101" 0.324137931034483 0.490959925442684 0.184902143522833 1964
"X.102" 0.324159317763349 0.479794553735827 0.196046128500824 1965
"X.103" 0.321380243572395 0.477479219021844 0.201140537405761 1966
"X.104" 0.270824699544136 0.46705346042271 0.262121840033154 1967
"X.105" 0.26420351927344 0.479591310181124 0.256205170545436 1968
"X.106" 0.254980079681275 0.497773611436607 0.247246308882119 1969
